	C	H	O	N	S	P	N15	H2	C13
A	3	5	1	1	0	0	0	0	0
C	5	8	2	2	1	0	0	0	0
D	4	5	3	1	0	0	0	0	0
E	5	7	3	1	0	0	0	0	0
F	9	9	1	1	0	0	0	0	0
G	2	3	1	1	0	0	0	0	0
H	6	7	1	3	0	0	0	0	0
I	6	11	1	1	0	0	0	0	0
K	6	12	1	2	0	0	0	0	0
L	6	11	1	1	0	0	0	0	0
M	5	9	1	1	1	0	0	0	0
N	4	6	2	2	0	0	0	0	0
P	5	7	1	1	0	0	0	0	0
Q	5	8	2	2	0	0	0	0	0
R	6	12	1	4	0	0	0	0	0
S	3	5	2	1	0	0	0	0	0
T	4	7	2	1	0	0	0	0	0
V	5	9	1	1	0	0	0	0	0
W	11	10	1	2	0	0	0	0	0
Y	9	9	2	1	0	0	0	0	0
NTERM	0	1	0	0	0	0	0	0	0
CTERM	0	1	1	0	0	0	0	0	0
*	0	0	1	0	0	0	0	0	0
#	0	0	0	0	0	0	0	0	0
@	0	0	0	0	0	0	0	0	0
